"employee_number","job_role","department","age","monthly_income","years_at_company","attrition","over_time","raw_score","income_pctile_in_dept","risk_tier","estimated_replacement_cost"
1998,"Research Scientist","Research & Development",42,5410,4,"No","Yes",65,"0.6197916666666666","High","97380"
1790,"Healthcare Representative","Research & Development",36,8321,12,"No","Yes",65,"0.7635416666666667","High","149778"
1827,"Manufacturing Director","Research & Development",47,10333,22,"No","Yes",65,"0.8135416666666667","High","185994"
1489,"Sales Executive","Sales",34,4599,15,"Yes","Yes",65,"0.28314606741573034","High","82782"
1494,"Laboratory Technician","Research & Development",24,3172,0,"Yes","Yes",65,"0.33541666666666664","High","57096"
932,"Laboratory Technician","Research & Development",39,2404,2,"Yes","Yes",65,"0.15","High","43272"
214,"Research Scientist","Research & Development",58,3346,1,"No","Yes",65,"0.3572916666666667","High","60228"
1015,"Research Director","Research & Development",30,11416,8,"No","Yes",65,"0.846875","High","205488"
702,"Research Scientist","Research & Development",33,3348,10,"Yes","Yes",65,"0.35833333333333334","High","60264"
846,"Sales Executive","Sales",28,4779,8,"No","Yes",65,"0.3235955056179775","High","86022"
1758,"Sales Executive","Sales",33,8564,0,"Yes","Yes",65,"0.7348314606741573","High","154152"
913,"Research Scientist","Research & Development",44,2559,8,"No","Yes",65,"0.19583333333333333","High","46062"
1740,"Manager","Sales",40,19833,21,"No","No",60,"0.9955056179775281","High","356994"
1014,"Healthcare Representative","Research & Development",35,10388,16,"No","Yes",60,"0.8145833333333333","High","186984"
1066,"Sales Executive","Sales",40,8396,7,"No","No",60,"0.7258426966292135","High","151128"
1824,"Manager","Sales",58,16291,16,"No","No",60,"0.9415730337078652","High","293238"
1061,"Research Director","Research & Development",50,19237,8,"No","Yes",60,"0.975","High","346266"
163,"Sales Executive","Sales",31,6172,7,"Yes","Yes",60,"0.5370786516853933","High","111096"
145,"Healthcare Representative","Research & Development",51,7484,13,"No","No",60,"0.74375","High","134712"
1053,"Research Scientist","Research & Development",26,2042,3,"Yes","Yes",60,"0.035416666666666666","High","36756"
1640,"Research Scientist","Research & Development",37,3936,8,"No","No",60,"0.43854166666666666","High","70848"
746,"Sales Executive","Sales",47,13770,22,"No","Yes",60,"0.9235955056179775","High","247860"
161,"Research Scientist","Research & Development",56,4963,5,"Yes","Yes",60,"0.571875","High","89334"
532,"Sales Executive","Sales",56,13212,7,"No","No",60,"0.9056179775280899","High","237816"
803,"Manufacturing Director","Research & Development",38,5980,15,"No","Yes",60,"0.6666666666666666","High","107640"
1733,"Sales Executive","Sales",36,6134,2,"Yes","Yes",60,"0.5303370786516854","High","110412"
1292,"Research Scientist","Research & Development",42,2372,1,"No","Yes",60,"0.13645833333333332","High","42696"
1576,"Research Scientist","Research & Development",48,2367,8,"No","No",60,"0.13229166666666667","High","42606"
741,"Research Scientist","Research & Development",28,2216,7,"Yes","Yes",60,"0.084375","High","39888"
1108,"Research Scientist","Research & Development",33,2313,2,"Yes","Yes",60,"0.11041666666666666","High","41634"
590,"Human Resources","Human Resources",34,9950,3,"Yes","Yes",60,"0.7903225806451613","High","179100"
103,"Human Resources","Human Resources",46,5021,4,"No","Yes",60,"0.5806451612903226","High","90378"
1242,"Research Director","Research & Development",42,13191,1,"No","Yes",60,"0.86875","High","237438"
51,"Research Scientist","Research & Development",36,3419,1,"No","Yes",60,"0.365625","High","61542"
1362,"Sales Executive","Sales",36,4639,15,"No","No",60,"0.2898876404494382","High","83502"
1034,"Healthcare Representative","Research & Development",55,6385,8,"No","Yes",55,"0.690625","Medium","114930"
233,"Research Scientist","Research & Development",27,3058,5,"No","Yes",55,"0.32083333333333336","Medium","55044"
635,"Manufacturing Director","Research & Development",37,6447,6,"No","No",55,"0.6947916666666667","Medium","116046"
1372,"Sales Executive","Sales",55,13695,19,"Yes","Yes",55,"0.9191011235955057","Medium","246510"
1237,"Manufacturing Director","Research & Development",36,10252,7,"No","Yes",55,"0.809375","Medium","184536"
529,"Research Scientist","Research & Development",37,4449,13,"No","Yes",55,"0.515625","Medium","80082"
854,"Research Scientist","Research & Development",25,3424,4,"No","No",55,"0.36875","Medium","61632"
296,"Research Director","Research & Development",51,12490,10,"No","No",55,"0.8625","Medium","224820"
1033,"Healthcare Representative","Research & Development",37,4777,1,"Yes","No",55,"0.55","Medium","85986"
1622,"Manufacturing Director","Research & Development",28,4877,5,"No","No",55,"0.5635416666666667","Medium","87786"
440,"Research Scientist","Research & Development",28,3464,3,"Yes","Yes",55,"0.3770833333333333","Medium","62352"
1605,"Research Scientist","Research & Development",22,2814,4,"No","Yes",55,"0.2708333333333333","Medium","50652"
911,"Laboratory Technician","Research & Development",32,2795,1,"Yes","Yes",55,"0.265625","Medium","50310"
802,"Research Scientist","Research & Development",37,2782,5,"No","Yes",55,"0.2625","Medium","50076"
518,"Manufacturing Director","Research & Development",37,4197,1,"No","Yes",55,"0.47291666666666665","Medium","75546"
299,"Sales Executive","Sales",30,6696,6,"Yes","No",55,"0.6067415730337079","Medium","120528"
1768,"Laboratory Technician","Research & Development",42,2766,5,"No","No",55,"0.25625","Medium","49788"
1241,"Research Scientist","Research & Development",30,3579,11,"No","Yes",55,"0.39166666666666666","Medium","64422"
1549,"Laboratory Technician","Research & Development",33,5207,15,"No","Yes",55,"0.5958333333333333","Medium","93726"
121,"Sales Executive","Sales",30,5209,11,"No","Yes",55,"0.3865168539325843","Medium","93762"
436,"Sales Executive","Sales",32,5228,13,"No","Yes",55,"0.39101123595505616","Medium","94104"
10,"Laboratory Technician","Research & Development",59,2670,1,"No","Yes",55,"0.22916666666666666","Medium","48060"
1210,"Research Scientist","Research & Development",41,2107,1,"Yes","No",55,"0.059375","Medium","37926"
351,"Laboratory Technician","Research & Development",42,2593,9,"No","Yes",55,"0.209375","Medium","46674"
1464,"Laboratory Technician","Research & Development",31,3722,2,"Yes","Yes",55,"0.4125","Medium","66996"
1674,"Laboratory Technician","Research & Development",49,2587,2,"No","Yes",55,"0.20729166666666668","Medium","46566"
1010,"Laboratory Technician","Research & Development",35,3743,4,"Yes","Yes",55,"0.41458333333333336","Medium","67374"
1645,"Sales Executive","Sales",35,5440,2,"Yes","Yes",55,"0.4404494382022472","Medium","97920"
1373,"Manufacturing Director","Research & Development",56,13402,19,"No","Yes",55,"0.8760416666666667","Medium","241236"
1803,"Healthcare Representative","Research & Development",42,5538,0,"No","No",55,"0.6333333333333333","Medium","99684"
1487,"Sales Executive","Sales",29,5765,5,"Yes","No",55,"0.501123595505618","Medium","103770"
1396,"Sales Executive","Sales",32,4078,3,"No","Yes",55,"0.18651685393258427","Medium","73404"
434,"Research Scientist","Research & Development",27,2478,4,"No","Yes",55,"0.175","Medium","44604"
630,"Research Scientist","Research & Development",52,5577,10,"No","Yes",55,"0.6375","Medium","100386"
502,"Sales Executive","Sales",34,5304,5,"Yes","Yes",55,"0.4044943820224719","Medium","95472"
1,"Sales Executive","Sales",41,5993,6,"Yes","Yes",55,"0.5191011235955056","Medium","107874"
625,"Manager","Sales",41,16595,18,"No","No",55,"0.946067415730337","Medium","298710"
1278,"Healthcare Representative","Research & Development",55,13577,33,"No","Yes",55,"0.884375","Medium","244386"
474,"Research Scientist","Research & Development",37,5974,7,"No","Yes",55,"0.665625","Medium","107532"
582,"Manager","Research & Development",33,13610,7,"Yes","Yes",55,"0.8875","Medium","244980"
1251,"Healthcare Representative","Research & Development",31,6833,6,"No","Yes",55,"0.7239583333333334","Medium","122994"
1522,"Research Scientist","Research & Development",29,2362,9,"Yes","No",55,"0.12916666666666668","Medium","42516"
206,"Laboratory Technician","Research & Development",45,2348,17,"No","No",55,"0.12708333333333333","Medium","42264"
1792,"Research Scientist","Research & Development",44,2342,5,"Yes","Yes",55,"0.12395833333333334","Medium","42156"
284,"Research Scientist","Research & Development",22,2328,4,"No","Yes",55,"0.11770833333333333","Medium","41904"
1496,"Manufacturing Director","Research & Development",44,10209,2,"No","Yes",55,"0.80625","Medium","183762"
429,"Manager","Research & Development",39,17068,21,"No","Yes",55,"0.9302083333333333","Medium","307224"
964,"Research Scientist","Research & Development",40,3617,1,"No","Yes",50,"0.3958333333333333","Medium","65106"
1321,"Manager","Research & Development",30,11916,9,"No","Yes",50,"0.8541666666666666","Medium","214488"
1885,"Research Scientist","Research & Development",37,4284,5,"No","Yes",50,"0.4864583333333333","Medium","77112"
2000,"Research Director","Research & Development",47,11957,13,"No","No",50,"0.85625","Medium","215226"
1596,"Laboratory Technician","Research & Development",35,3407,10,"No","No",50,"0.36354166666666665","Medium","61326"
1037,"Sales Executive","Sales",26,4969,2,"Yes","No",50,"0.3550561797752809","Medium","89442"
1458,"Laboratory Technician","Research & Development",39,3646,1,"Yes","Yes",50,"0.4","Medium","65628"
1973,"Manager","Human Resources",55,19636,10,"No","Yes",50,"0.967741935483871","Medium","353448"
747,"Sales Executive","Sales",30,5304,8,"No","No",50,"0.4044943820224719","Medium","95472"
787,"Manager","Research & Development",55,19859,5,"Yes","Yes",50,"0.9958333333333333","Medium","357462"
119,"Healthcare Representative","Research & Development",40,13503,22,"No","No",50,"0.88125","Medium","243054"
1288,"Manager","Research & Development",44,19190,25,"No","No",50,"0.9708333333333333","Medium","345420"
1547,"Healthcare Representative","Research & Development",42,10124,20,"No","Yes",50,"0.8041666666666667","Medium","182232"
199,"Manager","Research & Development",41,17181,7,"No","No",50,"0.9364583333333333","Medium","309258"
970,"Sales Executive","Sales",37,10609,14,"Yes","No",50,"0.8651685393258427","Medium","190962"
1317,"Research Director","Research & Development",50,16880,3,"No","Yes",50,"0.9260416666666667","Medium","303840"
170,"Manufacturing Director","Research & Development",49,6567,15,"No","No",50,"0.70625","Medium","118206"
238,"Laboratory Technician","Research & Development",36,2088,8,"No","No",50,"0.051041666666666666","Medium","37584"
1472,"Research Director","Research & Development",53,16598,9,"No","No",50,"0.9177083333333333","Medium","298764"
729,"Sales Executive","Sales",40,10475,18,"No","Yes",50,"0.8606741573033708","Medium","188550"
1724,"Manufacturing Director","Research & Development",40,6516,1,"No","Yes",50,"0.7010416666666667","Medium","117288"
614,"Sales Representative","Sales",18,1878,0,"Yes","Yes",50,"0.020224719101123594","Medium","33804"
1277,"Manager","Sales",45,18824,24,"Yes","Yes",50,"0.9820224719101124","Medium","338832"
1569,"Laboratory Technician","Research & Development",35,2074,1,"Yes","Yes",50,"0.046875","Medium","37332"
1324,"Sales Executive","Sales",31,9852,10,"No","Yes",50,"0.8134831460674158","Medium","177336"
816,"Laboratory Technician","Research & Development",29,2319,1,"Yes","Yes",50,"0.11354166666666667","Medium","41742"
1389,"Manufacturing Director","Research & Development",31,6179,10,"Yes","Yes",50,"0.6791666666666667","Medium","111222"
2064,"Manufacturing Director","Research & Development",27,6142,6,"No","Yes",50,"0.6739583333333333","Medium","110556"
466,"Manufacturing Director","Research & Development",41,6032,5,"No","Yes",50,"0.66875","Medium","108576"
2055,"Sales Executive","Sales",50,10854,3,"Yes","Yes",50,"0.8786516853932584","Medium","195372"
394,"Laboratory Technician","Research & Development",26,2373,3,"Yes","Yes",50,"0.13854166666666667","Medium","42714"
554,"Sales Representative","Sales",24,3202,5,"Yes","Yes",50,"0.15955056179775282","Medium","57636"
1425,"Sales Executive","Sales",36,9278,5,"No","Yes",50,"0.7797752808988764","Medium","167004"
994,"Research Scientist","Research & Development",29,2404,0,"Yes","Yes",50,"0.15","Medium","43272"
961,"Healthcare Representative","Research & Development",31,5855,9,"No","Yes",50,"0.65625","Medium","105390"
699,"Manufacturing Director","Research & Development",36,8847,3,"No","Yes",50,"0.775","Medium","159246"
1318,"Sales Executive","Sales",40,9094,5,"Yes","Yes",50,"0.7685393258426966","Medium","163692"
1594,"Laboratory Technician","Research & Development",36,5562,3,"No","Yes",50,"0.634375","Medium","100116"
1460,"Healthcare Representative","Research & Development",45,10851,7,"No","Yes",50,"0.8322916666666667","Medium","195318"
1157,"Sales Executive","Sales",33,8224,5,"Yes","Yes",50,"0.7101123595505618","Medium","148032"
799,"Manufacturing Director","Research & Development",54,5485,5,"No","Yes",50,"0.63125","Medium","98730"
406,"Sales Executive","Sales",35,8020,11,"No","No",50,"0.698876404494382","Medium","144360"
1801,"Sales Executive","Sales",46,7991,2,"No","No",50,"0.6966292134831461","Medium","143838"
904,"Sales Executive","Sales",37,7642,10,"No","Yes",50,"0.6808988764044944","Medium","137556"
396,"Research Director","Research & Development",49,18665,3,"No","Yes",50,"0.95625","Medium","335970"
297,"Research Scientist","Research & Development",30,2657,5,"Yes","Yes",50,"0.22291666666666668","Medium","47826"
780,"Research Scientist","Research & Development",33,2686,10,"Yes","Yes",50,"0.23125","Medium","48348"
13,"Healthcare Representative","Research & Development",36,5237,7,"No","No",50,"0.6010416666666667","Medium","94266"
433,"Research Scientist","Research & Development",52,4941,8,"Yes","No",50,"0.5697916666666667","Medium","88938"
1248,"Research Scientist","Research & Development",19,1859,1,"Yes","Yes",50,"0.019791666666666666","Medium","33462"
1952,"Laboratory Technician","Research & Development",26,2867,7,"No","No",50,"0.28229166666666666","Medium","51606"
1870,"Research Scientist","Research & Development",27,4774,7,"No","No",50,"0.5479166666666667","Medium","85932"
390,"Healthcare Representative","Research & Development",26,4741,5,"No","Yes",50,"0.54375","Medium","85338"
1844,"Human Resources","Human Resources",29,2335,2,"Yes","Yes",50,"0.1935483870967742","Medium","42030"
1586,"Laboratory Technician","Research & Development",29,4723,10,"No","Yes",50,"0.5395833333333333","Medium","85014"
1080,"Research Scientist","Research & Development",46,4615,16,"No","Yes",50,"0.5291666666666667","Medium","83070"
1980,"Manufacturing Director","Research & Development",54,4440,5,"No","Yes",50,"0.5114583333333333","Medium","79920"
515,"Laboratory Technician","Research & Development",37,3034,18,"No","No",50,"0.315625","Medium","54612"
478,"Sales Representative","Sales",21,2174,3,"Yes","Yes",50,"0.04044943820224719","Medium","39132"
339,"Manufacturing Director","Research & Development",34,5957,11,"No","No",45,"0.6635416666666667","Medium","107226"
1608,"Research Director","Research & Development",44,19049,22,"No","Yes",45,"0.9645833333333333","Medium","342882"
524,"Manufacturing Director","Research & Development",31,4306,13,"No","No",45,"0.490625","Medium","77508"
73,"Research Director","Research & Development",33,13458,15,"No","Yes",45,"0.8770833333333333","Medium","242244"
1548,"Sales Executive","Sales",40,5473,8,"No","No",45,"0.451685393258427","Medium","98514"
852,"Healthcare Representative","Research & Development",44,5933,5,"No","No",45,"0.6625","Medium","106794"
2018,"Sales Executive","Sales",25,4907,5,"No","Yes",45,"0.3393258426966292","Medium","88326"
1402,"Research Scientist","Research & Development",43,4081,20,"No","Yes",45,"0.46145833333333336","Medium","73458"
944,"Laboratory Technician","Research & Development",49,7403,26,"No","No",45,"0.7385416666666667","Medium","133254"
1835,"Sales Representative","Sales",38,5405,4,"No","Yes",45,"0.4337078651685393","Medium","97290"
2054,"Research Scientist","Research & Development",29,3785,5,"No","No",45,"0.421875","Medium","68130"
425,"Laboratory Technician","Research & Development",45,5210,24,"No","No",45,"0.5979166666666667","Medium","93780"
644,"Manager","Human Resources",50,18200,32,"No","No",45,"0.9032258064516129","Medium","327600"
1771,"Research Scientist","Research & Development",33,3055,9,"No","No",45,"0.31875","Medium","54990"
682,"Sales Executive","Sales",53,8381,14,"No","No",45,"0.7213483146067415","Medium","150858"
488,"Sales Executive","Sales",41,9355,8,"Yes","No",45,"0.7820224719101123","Medium","168390"
325,"Laboratory Technician","Research & Development",33,2436,5,"Yes","Yes",45,"0.15833333333333333","Medium","43848"
1936,"Manufacturing Director","Research & Development",39,5151,10,"No","No",45,"0.5916666666666667","Medium","92718"
1150,"Manufacturing Director","Research & Development",29,5056,10,"No","Yes",45,"0.5802083333333333","Medium","91008"
522,"Research Director","Research & Development",54,19406,4,"No","No",45,"0.9802083333333333","Medium","349308"
597,"Manager","Sales",55,16835,10,"No","No",45,"0.950561797752809","Medium","303030"
1814,"Healthcare Representative","Research & Development",41,6870,3,"No","No",45,"0.7270833333333333","Medium","123660"
451,"Healthcare Representative","Research & Development",43,9985,1,"No","No",45,"0.7989583333333333","Medium","179730"
1448,"Research Scientist","Research & Development",41,2127,4,"No","Yes",45,"0.06354166666666666","Medium","38286"
403,"Research Scientist","Research & Development",37,2326,4,"No","Yes",45,"0.11666666666666667","Medium","41868"
1775,"Manufacturing Director","Research & Development",53,12965,3,"No","Yes",45,"0.865625","Medium","233370"
927,"Laboratory Technician","Research & Development",41,2778,7,"Yes","Yes",45,"0.2604166666666667","Medium","50004"
856,"Research Scientist","Research & Development",35,2559,6,"No","No",45,"0.19583333333333333","Medium","46062"
1258,"Laboratory Technician","Research & Development",48,2559,1,"No","No",45,"0.19583333333333333","Medium","46062"
1945,"Sales Executive","Sales",35,5561,5,"No","No",45,"0.4696629213483146","Medium","100098"
359,"Laboratory Technician","Research & Development",32,2794,5,"No","No",45,"0.26458333333333334","Medium","50292"
1756,"Sales Executive","Sales",33,5147,11,"No","No",45,"0.37303370786516854","Medium","92646"
1314,"Human Resources","Human Resources",46,3423,7,"No","No",45,"0.43548387096774194","Medium","61614"
889,"Sales Executive","Sales",32,6524,10,"No","No",45,"0.5820224719101124","Medium","117432"
1504,"Laboratory Technician","Research & Development",28,2561,0,"Yes","No",45,"0.19895833333333332","Medium","46098"
2009,"Healthcare Representative","Research & Development",33,4878,9,"No","Yes",45,"0.5645833333333333","Medium","87804"
773,"Research Scientist","Research & Development",38,3057,1,"No","Yes",45,"0.31979166666666664","Medium","55026"
874,"Laboratory Technician","Research & Development",44,2818,3,"No","Yes",45,"0.271875","Medium","50724"
1829,"Healthcare Representative","Research & Development",40,4448,7,"No","No",45,"0.5145833333333333","Medium","80064"
1048,"Manager","Sales",59,11904,6,"No","Yes",45,"0.8921348314606742","Medium","214272"
1527,"Manager","Sales",46,16606,13,"No","No",45,"0.9483146067415731","Medium","298908"
1039,"Sales Executive","Sales",44,13320,12,"No","Yes",45,"0.9101123595505618","Medium","239760"
428,"Manager","Research & Development",33,11878,10,"No","No",45,"0.853125","Medium","213804"
918,"Laboratory Technician","Research & Development",58,2380,1,"Yes","Yes",45,"0.14375","Medium","42840"
833,"Manufacturing Director","Research & Development",30,6877,0,"No","Yes",45,"0.728125","Medium","123786"
1975,"Sales Executive","Sales",39,13341,20,"No","No",45,"0.9123595505617977","Medium","240138"
1299,"Laboratory Technician","Research & Development",29,3339,7,"Yes","Yes",45,"0.35625","Medium","60102"
1731,"Sales Executive","Sales",47,4978,1,"No","No",45,"0.35730337078651686","Medium","89604"
1911,"Research Director","Research & Development",42,13348,13,"No","No",45,"0.875","Medium","240264"
905,"Manager","Research & Development",50,17924,31,"No","No",45,"0.9489583333333333","Medium","322632"
1019,"Laboratory Technician","Research & Development",22,2451,4,"No","No",45,"0.16770833333333332","Medium","44118"
1082,"Healthcare Representative","Research & Development",28,8722,10,"Yes","No",45,"0.771875","Medium","156996"
796,"Sales Executive","Sales",26,5326,4,"Yes","No",45,"0.41123595505617977","Medium","95868"
1401,"Manufacturing Director","Research & Development",52,13247,5,"No","Yes",45,"0.8729166666666667","Medium","238446"
385,"Research Director","Research & Development",50,19144,10,"No","No",45,"0.9677083333333333","Medium","344592"
760,"Human Resources","Human Resources",39,6389,8,"No","No",45,"0.6935483870967742","Medium","115002"
1560,"Sales Executive","Sales",33,6392,2,"No","No",45,"0.5685393258426966","Medium","115056"
1606,"Healthcare Representative","Research & Development",50,11245,30,"No","Yes",45,"0.8458333333333333","Medium","202410"
1136,"Research Scientist","Research & Development",28,3201,5,"No","No",45,"0.3385416666666667","Medium","57618"
1447,"Laboratory Technician","Research & Development",34,3294,5,"No","No",45,"0.3489583333333333","Medium","59292"
74,"Sales Executive","Sales",35,9069,9,"No","No",45,"0.7640449438202247","Medium","163242"
1893,"Research Scientist","Research & Development",26,2933,1,"No","Yes",45,"0.296875","Medium","52794"
1180,"Research Scientist","Research & Development",40,4422,1,"No","Yes",45,"0.5072916666666667","Medium","79596"
1617,"Laboratory Technician","Research & Development",49,3211,9,"No","No",45,"0.3416666666666667","Medium","57798"
1419,"Human Resources","Human Resources",29,7988,10,"No","No",45,"0.7419354838709677","Medium","143784"
72,"Sales Executive","Sales",26,4157,2,"No","Yes",45,"0.19775280898876405","Medium","74826"
1409,"Laboratory Technician","Research & Development",52,2950,5,"No","No",45,"0.3020833333333333","Medium","53100"
1202,"Research Scientist","Research & Development",29,2168,5,"No","Yes",45,"0.07395833333333333","Medium","39024"
329,"Manager","Sales",52,19068,33,"No","Yes",45,"0.9865168539325843","Medium","343224"
1797,"Sales Executive","Sales",35,5813,10,"Yes","Yes",45,"0.5078651685393258","Medium","104634"
1553,"Healthcare Representative","Research & Development",45,7441,10,"No","No",45,"0.7416666666666667","Medium","133938"
88,"Research Scientist","Research & Development",35,2194,3,"No","No",45,"0.078125","Medium","39492"
244,"Sales Executive","Sales",46,10453,24,"No","No",45,"0.8584269662921349","Medium","188154"
1074,"Manager","Research & Development",55,16756,9,"No","No",45,"0.9229166666666667","Medium","301608"
1609,"Research Scientist","Research & Development",30,2141,6,"No","No",45,"0.06875","Medium","38538"
1641,"Manufacturing Director","Research & Development",40,7945,4,"No","Yes",45,"0.7583333333333333","Medium","143010"
608,"Human Resources","Human Resources",26,2741,7,"Yes","Yes",45,"0.2903225806451613","Medium","49338"
1719,"Research Director","Research & Development",45,16704,21,"No","No",45,"0.9208333333333333","Medium","300672"
38,"Manager","Sales",46,18947,2,"No","No",45,"0.9842696629213483","Medium","341046"
1931,"Research Scientist","Research & Development",27,2226,5,"No","No",45,"0.08645833333333333","Medium","40068"
1618,"Manufacturing Director","Research & Development",39,5377,7,"No","No",45,"0.6166666666666667","Medium","96786"
661,"Research Director","Research & Development",43,16627,1,"No","Yes",45,"0.91875","Medium","299286"
1514,"Manufacturing Director","Research & Development",28,6549,8,"No","No",45,"0.7041666666666667","Medium","117882"
1954,"Healthcare Representative","Research & Development",29,5373,5,"No","No",45,"0.615625","Medium","96714"
1523,"Research Director","Research & Development",44,16328,20,"No","No",45,"0.9135416666666667","Medium","293904"
1892,"Manager","Research & Development",40,16823,19,"No","No",45,"0.925","Medium","302814"
664,"Manager","Research & Development",48,15402,3,"No","No",45,"0.9072916666666667","Medium","277236"
1639,"Sales Executive","Sales",35,10306,13,"Yes","No",45,"0.8404494382022472","Medium","185508"
573,"Sales Executive","Sales",60,10266,18,"No","No",45,"0.8382022471910112","Medium","184788"
1541,"Sales Representative","Sales",34,2308,11,"No","Yes",45,"0.058426966292134834","Medium","41544"
1682,"Healthcare Representative","Research & Development",36,5347,3,"No","No",45,"0.6135416666666667","Medium","96246"
1338,"Manager","Human Resources",56,19717,7,"No","No",45,"1","Medium","354906"
1961,"Sales Representative","Sales",38,2858,1,"No","No",45,"0.13707865168539327","Medium","51444"
1132,"Laboratory Technician","Research & Development",39,6782,5,"No","No",45,"0.71875","Medium","122076"
20,"Manufacturing Director","Research & Development",29,9980,10,"No","No",45,"0.7979166666666667","Medium","179640"
1798,"Research Scientist","Research & Development",33,3143,10,"No","No",45,"0.3302083333333333","Medium","56574"
205,"Sales Representative","Sales",53,2306,7,"No","Yes",45,"0.056179775280898875","Medium","41508"
45,"Research Scientist","Research & Development",24,2293,2,"Yes","Yes",45,"0.10416666666666667","Medium","41274"
679,"Research Scientist","Research & Development",32,6322,6,"No","Yes",45,"0.6854166666666667","Medium","113796"
1195,"Research Scientist","Research & Development",45,4477,3,"No","Yes",45,"0.5177083333333333","Medium","80586"
1204,"Manager","Sales",46,17048,26,"No","No",45,"0.9595505617977528","Medium","306864"
218,"Research Scientist","Research & Development",27,2024,2,"No","No",45,"0.03125","Medium","36432"
764,"Healthcare Representative","Research & Development",27,6811,7,"No","No",45,"0.7208333333333333","Medium","122598"
837,"Healthcare Representative","Research & Development",38,6288,4,"No","No",45,"0.6822916666666666","Medium","113184"
1562,"Sales Executive","Sales",30,9714,10,"Yes","No",45,"0.8067415730337079","Medium","174852"
857,"Sales Executive","Sales",36,6201,18,"No","Yes",45,"0.5415730337078651","Medium","111618"
954,"Sales Executive","Sales",40,9705,1,"No","No",45,"0.802247191011236","Medium","174690"
1992,"Laboratory Technician","Research & Development",25,3977,2,"No","Yes",45,"0.44375","Medium","71586"
78,"Manufacturing Director","Research & Development",32,6162,9,"No","Yes",45,"0.6770833333333334","Medium","110916"
626,"Sales Executive","Sales",37,8834,9,"No","No",45,"0.7528089887640449","Medium","159012"
453,"Sales Executive","Sales",40,7457,4,"No","Yes",45,"0.6651685393258427","Medium","134226"
1986,"Sales Executive","Sales",40,5677,11,"No","No",45,"0.4898876404494382","Medium","102186"
